date,nav,scheme_code,scheme_name,fund_house
2012-12-31,23.992,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-01,23.9979,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-02,24.0036,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-03,24.0092,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-04,24.0147,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-06,24.0258,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-07,24.0314,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-08,24.0369,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-09,24.0424,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-10,24.0479,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-11,24.0534,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-13,24.0643,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-14,24.0698,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-15,24.0754,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-16,24.0809,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-17,24.0863,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-18,24.0918,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-20,24.1028,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-21,24.1084,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-22,24.1139,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-23,24.1194,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-24,24.1249,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-27,24.1413,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-28,24.1468,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-29,24.1522,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-30,24.1577,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-01-31,24.1631,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-02-01,24.1686,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-02-03,24.1795,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-02-04,24.1849,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2013-02-05,24.1903,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
