date,nav,scheme_code,scheme_name,fund_house
2013-11-18,13.0894,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-11-19,13.1068,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-11-20,12.9549,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-11-21,12.7957,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-11-22,12.7775,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-11-25,12.8548,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-11-26,12.8591,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-11-27,12.8389,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-11-28,12.8773,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-11-29,12.9509,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-02,13.0012,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-03,13.0048,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-04,12.9799,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-05,13.0319,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-06,13.0439,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-09,13.0282,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-10,13.0325,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-11,13.0129,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-12,13.0021,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-13,12.9891,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-16,13.0345,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-17,12.9569,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-18,13.0672,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-19,13.1392,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-20,13.1776,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-23,13.1886,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-24,13.2683,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-26,13.4811,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-27,13.5024,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-30,13.5862,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2013-12-31,13.7277,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-01,13.7418,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-02,13.7553,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-03,13.8494,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-06,13.8568,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-07,13.9214,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-08,14.0081,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-09,13.8644,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-10,13.8143,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-13,13.7909,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-14,13.8249,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-15,14.0209,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-16,14.0042,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-17,13.7841,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-20,13.8144,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-21,13.8659,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-22,13.9302,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-23,13.9537,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-24,13.8688,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-27,13.6829,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-28,13.5678,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-29,13.4977,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-30,13.4661,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-01-31,13.6059,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-03,13.4995,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-04,13.4717,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-05,13.5431,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-06,13.5883,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-07,13.5552,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-10,13.7402,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-11,13.6983,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-12,13.6874,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-13,13.678,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-14,13.5948,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-17,13.6423,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-18,13.6801,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-19,13.801,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-20,13.8913,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-21,14.037,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-24,14.1905,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-25,14.2704,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-26,14.1733,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-02-28,14.2102,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-03,14.2753,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-04,14.4166,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-05,14.5448,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-06,14.6678,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-07,14.5275,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-10,14.5576,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-11,14.6449,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-12,14.7175,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-13,14.7121,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-14,14.6527,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-18,14.7961,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-19,14.7118,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-20,14.8045,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-21,14.9389,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-24,14.9833,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-25,15.017,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-26,15.0172,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-27,15.016,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-28,15.1698,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-03-31,15.2761,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-01,15.3236,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-02,15.5261,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-03,15.5016,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-04,15.6554,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-07,15.7238,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-09,15.7721,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-10,15.7832,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-11,15.8805,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-15,15.959,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-16,15.8341,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-17,15.9681,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-21,16.061,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-22,16.1917,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-23,16.2362,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-25,16.2714,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-28,16.3857,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-04-29,16.4239,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
