date,nav,scheme_code,scheme_name,fund_house
2013-01-07,30.6076,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-08,30.6239,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-09,30.6492,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-10,30.6784,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-11,30.6305,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-14,30.6862,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-15,30.6993,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-16,30.6804,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-17,30.6565,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-18,30.658,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-21,30.6574,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-22,30.6627,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-23,30.6688,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-24,30.6574,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-25,30.6611,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-28,30.6878,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-29,30.674,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-30,30.6441,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-01-31,30.6763,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-01,30.7201,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-04,30.7231,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-05,30.6673,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-06,30.7067,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-07,30.6882,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-08,30.6813,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-11,30.5643,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-12,30.6846,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-13,30.693,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-14,30.648,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-15,30.6442,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-18,30.6588,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-19,30.6778,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-20,30.7038,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-21,30.6841,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-22,30.6784,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-25,30.8655,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-26,30.8517,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-27,30.8692,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-02-28,30.8823,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-01,30.8771,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-04,30.9006,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-05,30.9255,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-06,30.9339,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-07,30.9351,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-08,30.9455,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-11,30.9535,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-12,30.9494,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
